fecha,turno,loteria,posicion,numero,sorteo_nro
2025-08-07,Nocturna,Provincia,13,2897,12527
2025-08-07,Nocturna,Provincia,14,3410,12527
2025-08-07,Nocturna,Provincia,15,8167,12527
2025-08-07,Nocturna,Provincia,16,8255,12527
2025-08-07,Nocturna,Provincia,17,8124,12527
2025-08-07,Nocturna,Provincia,18,1073,12527
2025-08-07,Nocturna,Provincia,19,7062,12527
2025-08-07,Nocturna,Provincia,20,9189,12527
2025-08-08,Nocturna,Provincia,1,1550,12528
2025-08-08,Nocturna,Provincia,2,9172,12528
2025-08-08,Nocturna,Provincia,3,0430,12528
2025-08-08,Nocturna,Provincia,4,0411,12528
2025-08-08,Nocturna,Provincia,5,4633,12528
2025-08-08,Nocturna,Provincia,6,4136,12528
2025-08-08,Nocturna,Provincia,7,9867,12528
2025-08-08,Nocturna,Provincia,8,5382,12528
2025-08-08,Nocturna,Provincia,9,5289,12528
2025-08-08,Nocturna,Provincia,10,7749,12528
2025-08-08,Nocturna,Provincia,11,2981,12528
2025-08-08,Nocturna,Provincia,12,8558,12528
2025-08-08,Nocturna,Provincia,13,2945,12528
2025-08-08,Nocturna,Provincia,14,8654,12528
2025-08-08,Nocturna,Provincia,15,4638,12528
2025-08-08,Nocturna,Provincia,16,9768,12528
2025-08-08,Nocturna,Provincia,17,1060,12528
2025-08-08,Nocturna,Provincia,18,6674,12528
2025-08-08,Nocturna,Provincia,19,4075,12528
2025-08-08,Nocturna,Provincia,20,2462,12528
2025-08-09,Nocturna,Provincia,1,4718,12529
2025-08-09,Nocturna,Provincia,2,2252,12529
2025-08-09,Nocturna,Provincia,3,2459,12529
2025-08-09,Nocturna,Provincia,4,9355,12529
2025-08-09,Nocturna,Provincia,5,7686,12529
2025-08-09,Nocturna,Provincia,6,2326,12529
2025-08-09,Nocturna,Provincia,7,2984,12529
2025-08-09,Nocturna,Provincia,8,7736,12529
2025-08-09,Nocturna,Provincia,9,4935,12529
2025-08-09,Nocturna,Provincia,10,4385,12529
2025-08-09,Nocturna,Provincia,11,7222,12529
2025-08-09,Nocturna,Provincia,12,6809,12529
2025-08-09,Nocturna,Provincia,13,8861,12529
2025-08-09,Nocturna,Provincia,14,0604,12529
2025-08-09,Nocturna,Provincia,15,2767,12529
2025-08-09,Nocturna,Provincia,16,9956,12529
2025-08-09,Nocturna,Provincia,17,2386,12529
2025-08-09,Nocturna,Provincia,18,9277,12529
2025-08-09,Nocturna,Provincia,19,8868,12529
2025-08-09,Nocturna,Provincia,20,6489,12529
2025-08-11,Nocturna,Provincia,1,5802,12530
2025-08-11,Nocturna,Provincia,2,5050,12530
2025-08-11,Nocturna,Provincia,3,5606,12530
2025-08-11,Nocturna,Provincia,4,9720,12530
2025-08-11,Nocturna,Provincia,5,2257,12530
2025-08-11,Nocturna,Provincia,6,7417,12530
2025-08-11,Nocturna,Provincia,7,5760,12530
2025-08-11,Nocturna,Provincia,8,7526,12530
2025-08-11,Nocturna,Provincia,9,1098,12530
2025-08-11,Nocturna,Provincia,10,6183,12530
2025-08-11,Nocturna,Provincia,11,4428,12530
2025-08-11,Nocturna,Provincia,12,3339,12530
2025-08-11,Nocturna,Provincia,13,9437,12530
2025-08-11,Nocturna,Provincia,14,0977,12530
2025-08-11,Nocturna,Provincia,15,2512,12530
2025-08-11,Nocturna,Provincia,16,8017,12530
2025-08-11,Nocturna,Provincia,17,5899,12530
2025-08-11,Nocturna,Provincia,18,6399,12530
2025-08-11,Nocturna,Provincia,19,5566,12530
2025-08-11,Nocturna,Provincia,20,2012,12530
2025-08-12,Nocturna,Provincia,1,7882,12531
2025-08-12,Nocturna,Provincia,2,2641,12531
2025-08-12,Nocturna,Provincia,3,2407,12531
2025-08-12,Nocturna,Provincia,4,3198,12531
2025-08-12,Nocturna,Provincia,5,4174,12531
2025-08-12,Nocturna,Provincia,6,9516,12531
2025-08-12,Nocturna,Provincia,7,9319,12531
2025-08-12,Nocturna,Provincia,8,4779,12531
2025-08-12,Nocturna,Provincia,9,0334,12531
2025-08-12,Nocturna,Provincia,10,9557,12531
2025-08-12,Nocturna,Provincia,11,0789,12531
2025-08-12,Nocturna,Provincia,12,4392,12531
2025-08-12,Nocturna,Provincia,13,2166,12531
2025-08-12,Nocturna,Provincia,14,4073,12531
2025-08-12,Nocturna,Provincia,15,3813,12531
2025-08-12,Nocturna,Provincia,16,3881,12531
2025-08-12,Nocturna,Provincia,17,7276,12531
2025-08-12,Nocturna,Provincia,18,0017,12531
2025-08-12,Nocturna,Provincia,19,0576,12531
2025-08-12,Nocturna,Provincia,20,1058,12531
2025-08-13,Nocturna,Provincia,1,1612,12532
2025-08-13,Nocturna,Provincia,2,3704,12532
2025-08-13,Nocturna,Provincia,3,5883,12532
2025-08-13,Nocturna,Provincia,4,9246,12532
2025-08-13,Nocturna,Provincia,5,1481,12532
2025-08-13,Nocturna,Provincia,6,1244,12532
2025-08-13,Nocturna,Provincia,7,3997,12532
2025-08-13,Nocturna,Provincia,8,6012,12532
2025-08-13,Nocturna,Provincia,9,9332,12532
2025-08-13,Nocturna,Provincia,10,9263,12532
2025-08-13,Nocturna,Provincia,11,5400,12532
2025-08-13,Nocturna,Provincia,12,3451,12532
2025-08-13,Nocturna,Provincia,13,6226,12532
2025-08-13,Nocturna,Provincia,14,8788,12532
2025-08-13,Nocturna,Provincia,15,6132,12532
2025-08-13,Nocturna,Provincia,16,9134,12532
2025-08-13,Nocturna,Provincia,17,0670,12532
2025-08-13,Nocturna,Provincia,18,7945,12532
2025-08-13,Nocturna,Provincia,19,1194,12532
2025-08-13,Nocturna,Provincia,20,3837,12532
2025-08-14,Nocturna,Provincia,1,2131,12533
2025-08-14,Nocturna,Provincia,2,2833,12533
2025-08-14,Nocturna,Provincia,3,3071,12533
2025-08-14,Nocturna,Provincia,4,6871,12533
2025-08-14,Nocturna,Provincia,5,1270,12533
2025-08-14,Nocturna,Provincia,6,0050,12533
2025-08-14,Nocturna,Provincia,7,4983,12533
2025-08-14,Nocturna,Provincia,8,1226,12533
2025-08-14,Nocturna,Provincia,9,1587,12533
2025-08-14,Nocturna,Provincia,10,4851,12533
2025-08-14,Nocturna,Provincia,11,5348,12533
2025-08-14,Nocturna,Provincia,12,1244,12533
2025-08-14,Nocturna,Provincia,13,2132,12533
2025-08-14,Nocturna,Provincia,14,1492,12533
2025-08-14,Nocturna,Provincia,15,7513,12533
2025-08-14,Nocturna,Provincia,16,4483,12533
2025-08-14,Nocturna,Provincia,17,5831,12533
2025-08-14,Nocturna,Provincia,18,1616,12533
2025-08-14,Nocturna,Provincia,19,6638,12533
2025-08-14,Nocturna,Provincia,20,4264,12533
2025-08-15,Nocturna,Provincia,1,8247,12534
2025-08-15,Nocturna,Provincia,2,9028,12534
2025-08-15,Nocturna,Provincia,3,0310,12534
2025-08-15,Nocturna,Provincia,4,1338,12534
2025-08-15,Nocturna,Provincia,5,5808,12534
2025-08-15,Nocturna,Provincia,6,5305,12534
2025-08-15,Nocturna,Provincia,7,1827,12534
2025-08-15,Nocturna,Provincia,8,9923,12534
2025-08-15,Nocturna,Provincia,9,3498,12534
2025-08-15,Nocturna,Provincia,10,4896,12534
2025-08-15,Nocturna,Provincia,11,4149,12534
2025-08-15,Nocturna,Provincia,12,4286,12534
2025-08-15,Nocturna,Provincia,13,5243,12534
2025-08-15,Nocturna,Provincia,14,8317,12534
2025-08-15,Nocturna,Provincia,15,3903,12534
2025-08-15,Nocturna,Provincia,16,5257,12534
2025-08-15,Nocturna,Provincia,17,8789,12534
2025-08-15,Nocturna,Provincia,18,9186,12534
2025-08-15,Nocturna,Provincia,19,4020,12534
2025-08-15,Nocturna,Provincia,20,8083,12534
2025-08-16,Nocturna,Provincia,1,7077,12535
2025-08-16,Nocturna,Provincia,2,4498,12535
2025-08-16,Nocturna,Provincia,3,5805,12535
2025-08-16,Nocturna,Provincia,4,0930,12535
2025-08-16,Nocturna,Provincia,5,4924,12535
2025-08-16,Nocturna,Provincia,6,5370,12535
2025-08-16,Nocturna,Provincia,7,1266,12535
2025-08-16,Nocturna,Provincia,8,8688,12535
2025-08-16,Nocturna,Provincia,9,3891,12535
2025-08-16,Nocturna,Provincia,10,5470,12535
2025-08-16,Nocturna,Provincia,11,7471,12535
2025-08-16,Nocturna,Provincia,12,0129,12535
2025-08-16,Nocturna,Provincia,13,7311,12535
2025-08-16,Nocturna,Provincia,14,6976,12535
2025-08-16,Nocturna,Provincia,15,4227,12535
2025-08-16,Nocturna,Provincia,16,8920,12535
2025-08-16,Nocturna,Provincia,17,5914,12535
2025-08-16,Nocturna,Provincia,18,7958,12535
2025-08-16,Nocturna,Provincia,19,6627,12535
2025-08-16,Nocturna,Provincia,20,6783,12535
2025-08-18,Nocturna,Provincia,1,6255,12536
2025-08-18,Nocturna,Provincia,2,4493,12536
2025-08-18,Nocturna,Provincia,3,0285,12536
2025-08-18,Nocturna,Provincia,4,5686,12536
2025-08-18,Nocturna,Provincia,5,1715,12536
2025-08-18,Nocturna,Provincia,6,6350,12536
2025-08-18,Nocturna,Provincia,7,7618,12536
2025-08-18,Nocturna,Provincia,8,4280,12536
2025-08-18,Nocturna,Provincia,9,4075,12536
2025-08-18,Nocturna,Provincia,10,4878,12536
2025-08-18,Nocturna,Provincia,11,1350,12536
2025-08-18,Nocturna,Provincia,12,7366,12536
2025-08-18,Nocturna,Provincia,13,8467,12536
2025-08-18,Nocturna,Provincia,14,7755,12536
2025-08-18,Nocturna,Provincia,15,2169,12536
2025-08-18,Nocturna,Provincia,16,6864,12536
2025-08-18,Nocturna,Provincia,17,7135,12536
2025-08-18,Nocturna,Provincia,18,8805,12536
2025-08-18,Nocturna,Provincia,19,2026,12536
2025-08-18,Nocturna,Provincia,20,1397,12536
2025-08-19,Nocturna,Provincia,1,2820,12537
2025-08-19,Nocturna,Provincia,2,6398,12537
2025-08-19,Nocturna,Provincia,3,1785,12537
2025-08-19,Nocturna,Provincia,4,0690,12537
2025-08-19,Nocturna,Provincia,5,8656,12537
2025-08-19,Nocturna,Provincia,6,4082,12537
2025-08-19,Nocturna,Provincia,7,4514,12537
2025-08-19,Nocturna,Provincia,8,4034,12537
2025-08-19,Nocturna,Provincia,9,8612,12537
2025-08-19,Nocturna,Provincia,10,9763,12537
2025-08-19,Nocturna,Provincia,11,8963,12537
2025-08-19,Nocturna,Provincia,12,9617,12537
2025-08-19,Nocturna,Provincia,13,3617,12537
2025-08-19,Nocturna,Provincia,14,9512,12537
2025-08-19,Nocturna,Provincia,15,6031,12537
2025-08-19,Nocturna,Provincia,16,7541,12537
2025-08-19,Nocturna,Provincia,17,3766,12537
2025-08-19,Nocturna,Provincia,18,6677,12537
2025-08-19,Nocturna,Provincia,19,2587,12537
2025-08-19,Nocturna,Provincia,20,8933,12537
2025-08-20,Nocturna,Provincia,1,6258,12538
2025-08-20,Nocturna,Provincia,2,9952,12538
2025-08-20,Nocturna,Provincia,3,2871,12538
2025-08-20,Nocturna,Provincia,4,0592,12538
2025-08-20,Nocturna,Provincia,5,2210,12538
2025-08-20,Nocturna,Provincia,6,6318,12538
2025-08-20,Nocturna,Provincia,7,3824,12538
2025-08-20,Nocturna,Provincia,8,5749,12538
2025-08-20,Nocturna,Provincia,9,7203,12538
2025-08-20,Nocturna,Provincia,10,4965,12538
2025-08-20,Nocturna,Provincia,11,8207,12538
2025-08-20,Nocturna,Provincia,12,3284,12538
